URL,description,og_description,og_image,og_locale,og_site_name,og_title,og_type,og_url,robots,title
https://kokochie.co.jp/recruit/,株式会社ココチエの採用情報ページです。募集職種一覧、代表メッセージ、社員インタビューなどを掲載しています。,株式会社ココチエの採用情報ページです。募集職種一覧、代表メッセージ、社員インタビューなどを掲載しています。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,RECRUIT（採用情報） | 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/recruit/,,RECRUIT（採用情報） | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/products/,株式会社ココチエが提供する自社事業・サービスのご案内です。株式会社ココチエでは、招待状事業、メディア事業など、ライフスタイル分野において自社サービスを展開しています。,株式会社ココチエが提供する自社事業・サービスのご案内です。株式会社ココチエでは、招待状事業、メディア事業など、ライフスタイル分野において自社サービスを展開しています。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,PRODUCTS（自社事業）| 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/products/,,PRODUCTS（自社事業）| 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/works/,株式会社ココチエのWOKRS（クライアントワーク）の実績のご案内です。マーケティング支援、ブランディング支援のプロジェクトの一部をご紹介します。,,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,WORKS（クライアントワーク） | 株式会社ココチエ KOKOCHIE Inc.,object,https://kokochie.co.jp/works/,,WORKS（クライアントワーク） | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/business/,事業・サービスのご案内（OUR BUSINESS）では、クライアントをサポートするココチエのマーケティング事業、新たに価値を創出する自社プロダクト事業についてご紹介しています。,事業・サービスのご案内（OUR BUSINESS）では、クライアントをサポートするココチエのマーケティング事業、新たに価値を創出する自社プロダクト事業についてご紹介しています。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,事業・サービスのご案内 | 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/business/,,事業・サービスのご案内 | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/company/,株式会社ココチエのCOMPANY（会社概要）ページです。会社の設立年月、本社所在地、経営メンバー（役員情報）、取引先、資本金等、ココチエの会社概要情報をご確認いただけます。,株式会社ココチエのCOMPANY（会社概要）ページです。会社の設立年月、本社所在地、経営メンバー（役員情報）、取引先、資本金等、ココチエの会社概要情報をご確認いただけます。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,COMPANY（会社概要） | 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/company/,,COMPANY（会社概要） | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/whoweare/,WHO WE ARE では、ココチエのビジネススキルセットをご確認いただけます。ココチエには新規事業の立ち上げや運営を成功に導いてきた戦略コンサルタントやマーケッター、WEBディレクター、雑誌・広告で経験を積んできた企画・編集、Good design賞受賞作品デザイナー、大規模データを扱うエンジニアなどが在籍しています。,WHO WE ARE では、ココチエのビジネススキルセットをご確認いただけます。ココチエには新規事業の立ち上げや運営を成功に導いてきた戦略コンサルタントやマーケッター、WEBディレクター、雑誌・広告で経験を積んできた企画・編集、Good design賞受賞作品デザイナー、大規模データを扱うエンジニアなどが在籍しています。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,WHO WE ARE | 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/whoweare/,,WHO WE ARE | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/about/,株式会社ココチエのMISSION（使命）、GUIDELINE（行動指針）、BEINGをご紹介しています。また、ココチエのロゴ（シンボルマーク）に込められた想いなどもご紹介しています。,株式会社ココチエのMISSION（使命）、GUIDELINE（行動指針）、BEINGをご紹介しています。また、ココチエのロゴ（シンボルマーク）に込められた想いなどもご紹介しています。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,ABOUT US | 株式会社ココチエ KOKOCHIE Inc.,article,https://kokochie.co.jp/about/,,ABOUT US | 株式会社ココチエ KOKOCHIE Inc.
https://kokochie.co.jp/news/kurasu-terrace/,「KURASU TERRACE（クラステラス）」リリース についてのご案内となります。,「KURASU TERRACE（クラステラス）」リリース についてのご案内となります。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,「KURASU TERRACE（クラステラス）」リリース | 株式会社ココチエ　KOKOCHIE Inc.,article,https://kokochie.co.jp/news/kurasu-terrace/,,「KURASU TERRACE（クラステラス）」リリース | 株式会社ココチエ　KOKOCHIE Inc.
https://kokochie.co.jp/news/%e3%80%8cavocados-from-mexico%e3%80%8d%e3%81%ae%e3%82%b5%e3%82%a4%e3%83%88%e3%82%92%e3%83%aa%e3%83%8b%e3%83%a5%e3%83%bc%e3%82%a2%e3%83%ab%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/,「Avocados From Mexico」のサイトをリニューアルしました についてのご案内となります。,「Avocados From Mexico」のサイトをリニューアルしました についてのご案内となります。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,「Avocados From Mexico」のサイトをリニューアルしました | 株式会社ココチエ　KOKOCHIE Inc.,article,https://kokochie.co.jp/news/%e3%80%8cavocados-from-mexico%e3%80%8d%e3%81%ae%e3%82%b5%e3%82%a4%e3%83%88%e3%82%92%e3%83%aa%e3%83%8b%e3%83%a5%e3%83%bc%e3%82%a2%e3%83%ab%e3%81%97%e3%81%be%e3%81%97%e3%81%9f/,,「Avocados From Mexico」のサイトをリニューアルしました | 株式会社ココチエ　KOKOCHIE Inc.
https://kokochie.co.jp/news/%e3%82%b3%e3%82%a2%e3%83%bc%e3%82%ba%e6%a7%98%e3%80%80%e4%b8%ad%e5%9b%bd%e5%90%91%e3%81%91%e3%82%b3%e3%83%bc%e3%83%9d%e3%83%ac%e3%83%bc%e3%83%88%e3%82%b5%e3%82%a4%e3%83%88%e3%83%aa%e3%83%aa%e3%83%bc/,コアーズ様　中国向けサイトリリース についてのご案内となります。,コアーズ様　中国向けサイトリリース についてのご案内となります。,,ja_JP,株式会社ココチエ KOKOCHIE Inc.,コアーズ様　中国向けサイトリリース | 株式会社ココチエ　KOKOCHIE Inc.,article,https://kokochie.co.jp/news/%e3%82%b3%e3%82%a2%e3%83%bc%e3%82%ba%e6%a7%98%e3%80%80%e4%b8%ad%e5%9b%bd%e5%90%91%e3%81%91%e3%82%b3%e3%83%bc%e3%83%9d%e3%83%ac%e3%83%bc%e3%83%88%e3%82%b5%e3%82%a4%e3%83%88%e3%83%aa%e3%83%aa%e3%83%bc/,,コアーズ様　中国向けサイトリリース | 株式会社ココチエ　KOKOCHIE Inc.
